,Star_name,Distance,Mass,Radius,Gravity,gravity,habitable_gravity
145,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.6678012497337,4.0191519074449447e-10,False
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.5402334740254,3.605415681678553e-10,False
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,349.1718362013974,8.491571327484447e-11,True
148,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,413.1893345369554,1.004842413450741e-10,False
149,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173537,1416.5667330925376,3.4449735651814774e-10,False
150,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061,3.9600467323354605e-10,False
151,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,1686.5610484742424,4.1015774917813e-10,False
152,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526,4.0919121663694307e-10,False
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,671.1824580662799,1.632260430402762e-10,False
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,1150.39649605639,2.7976694820015726e-10,False
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,1038.1626915630836,2.5247261179038586e-10,False
156,SDSS J074201.41+205520.5 [de],49.0,0.0410472839999999,0.09659722,1206.513398303043,2.934141164050423e-10,False
157,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1659.2174251037488,4.035080052947632e-10,False
158,2MASS J07522390+1612157,60.0,0.001918722,6.987884,0.0107769944671051,2.620876248465386e-15,False
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,1234.5718494263697,3.0023770050748594e-10,False
160,2MASS J08251968+2115521 [de],35.0,0.049638576,0.10070774,1342.3649161325598,3.264520860805524e-10,False
161,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173537,1214.200056936461,2.952834484441266e-10,False
162,LHS 2021,55.0,0.084003744,0.11817745,1649.7053854867902,4.011947556422148e-10,False
163,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865248,1237.470248457338,3.009425672680681e-10,False
164,2MASSI J0835425-081923 [de],23.53,0.0591844559999999,0.102763,1537.131739579425,3.738177726009471e-10,False
165,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1586.7166344045677,3.858764104267848e-10,False
166,2MASS J08533619-0329321,27.6,0.0735032759999999,0.10995641,1667.410647888894,4.0550052956129326e-10,False
167,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070774,1290.735496281308,3.138962366159158e-10,False
168,2MASSI J0937347+293142,20.0,0.040092696,0.09659722,1178.4549471797168,2.8659053230260015e-10,False
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,879.0673874817548,2.1378194483478382e-10,False
170,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865248,1318.174829878469,3.2056925643772464e-10,False
171,2MASS J10073369-4555147,46.0,0.042001872,0.09659722,1234.5718494263697,3.0023770050748594e-10,False
172,2MASSI J1010148-040649 [de],55.0,0.048683988,0.10070774,1316.5502062069338,3.2017416134823415e-10,False
173,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489583,336.7014134799189,8.188300922931432e-11,True
174,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968011,1291.1360646359838,3.1399365153895955e-10,False
175,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722,1178.4549471797168,2.8659053230260015e-10,False
176,DEN 1048-3956,13.15,0.0735032759999999,0.10995641,1667.410647888894,4.0550052956129326e-10,False
177,Luhman 16B,6.516,0.0410472839999999,0.10481826,1024.6782379282668,2.491933037826753e-10,False
178,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902,2.364207004379379e-10,False
179,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1586.7166344045677,3.858764104267848e-10,False
